route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
279_5096_BLT_262,279,96,,,3,http://www.ResRobot.se,,
269_563_TLT_272,269,563,Länstaxi,,3,http://www.ResRobot.se,,
275_19_ULT,275,19,,,1,http://www.ResRobot.se,,
279_6980_BLT_262,279,980,,,3,http://www.ResRobot.se,,
602_7_BLT,602,7,,,3,http://www.ResRobot.se,,
279_6539_BLT_262,279,539,,,3,http://www.ResRobot.se,,
251_865_BLT,251,865,,,3,http://www.ResRobot.se,,
261_777_BLT,261,777,,,3,http://www.ResRobot.se,,
275_818_BLT,275,818,,,3,http://www.ResRobot.se,,
279_6911_BLT_262,279,911,,,3,http://www.ResRobot.se,,
269_212_BLT,269,212,,,3,http://www.ResRobot.se,,
276_250_TLT,276,250,Länstaxi,,3,http://www.ResRobot.se,,
276_227_BLT,276,227,,,3,http://www.ResRobot.se,,
289_802_BLT,289,802,,,3,http://www.ResRobot.se,,
229_B_74,229,399,NSB/SJ,,3,http://www.ResRobot.se,,
267_342_BLT,267,342,,,3,http://www.ResRobot.se,,
269_153_BLT_272,269,153,,,3,http://www.ResRobot.se,,
269_153_BLT_271,269,153,,,3,http://www.ResRobot.se,,
269_674_TLT_272,269,674,Länstaxi,,3,http://www.ResRobot.se,,
269_519_BLT,269,519,,,3,http://www.ResRobot.se,,
276_622_BLT,276,22,,,3,http://www.ResRobot.se,,
251_104_BLT,251,104,,,3,http://www.ResRobot.se,,
279_4935_BLT_262,279,935,,,3,http://www.ResRobot.se,,
277_26_BLT,277,Flygb,Flygbussarna,,3,http://www.ResRobot.se,,
269_703_TLT_272,269,703,Länstaxi,,3,http://www.ResRobot.se,,
253_354_BLT,253,354,,,3,http://www.ResRobot.se,,
253_619_BLT,253,619,,,3,http://www.ResRobot.se,,
265_109_BLT,265,109,,,3,http://www.ResRobot.se,,
275_554_BLT,275,554,,,3,http://www.ResRobot.se,,
253_568_BLT,253,568,,,3,http://www.ResRobot.se,,
275_62_BLT,275,62,,,3,http://www.ResRobot.se,,
257_20_BLT,257,20,,,3,http://www.ResRobot.se,,
251_503_BLT,251,503,,,3,http://www.ResRobot.se,,
256_37_BLT,256,37,,,3,http://www.ResRobot.se,,
266_11_BLT,266,11,,,3,http://www.ResRobot.se,,
279_6375_BLT_262,279,375,,,3,http://www.ResRobot.se,,
279_6974_BLT_262,279,974,,,3,http://www.ResRobot.se,,
269_41_TLT_271,269,41,Länstaxi,,3,http://www.ResRobot.se,,
289_726_BLT,289,726,,,3,http://www.ResRobot.se,,
322_1_BLT,322,1,,,3,http://www.ResRobot.se,,
267_371_BLT,267,371,,,3,http://www.ResRobot.se,,
275_196_BLT,275,196,,,3,http://www.ResRobot.se,,
279_3718_TLT_262,279,158,Länstaxi,,3,http://www.ResRobot.se,,
265_104_BLT,265,104,,,3,http://www.ResRobot.se,,
279_6969_BLT_262,279,969,,,3,http://www.ResRobot.se,,
267_251_BLT,267,251,,,3,http://www.ResRobot.se,,
256_166_BLT,256,166,,,3,http://www.ResRobot.se,,
267_506_BLT,267,506,,,3,http://www.ResRobot.se,,
256_163_BLT,256,163,,,3,http://www.ResRobot.se,,
269_352_BLT_272,269,352,,,3,http://www.ResRobot.se,,
276_305_TLT,276,305,Länstaxi,,3,http://www.ResRobot.se,,
279_2372_BLT_262,279,372,,,3,http://www.ResRobot.se,,
269_109_BLT_272,269,109,,,3,http://www.ResRobot.se,,
