from_stop_id,to_stop_id,transfer_type,min_transfer_time
7400291,7400291,2,300
7400292,7400292,2,300
7400293,7400293,2,300
7400294,7400294,2,300
7400295,7400295,2,300
7400296,7400296,2,300
7400297,7400297,2,300
7400298,7400298,2,300
7400299,7400299,3,
7400300,7400300,2,600
7400301,7400301,2,600
7400302,7400302,2,420
7400303,7400303,2,600
7400306,7400306,3,
7400307,7400307,2,600
7400308,7400308,2,600
7400309,7400309,2,300
7400310,7400310,2,300
7400311,7400311,2,600
7400312,7400312,2,180
7400313,7400313,2,600
7400314,7400314,2,600
7400315,7400315,2,600
7400316,7400316,3,
7400317,7400317,2,300
7400318,7400318,2,300
7400319,7400319,2,300
7400320,7400320,2,300
7400321,7400321,2,300
7400322,7400322,3,
7400323,7400323,2,300
7400324,7400324,3,
7400325,7400325,3,
7400326,7400326,3,
7400328,7400328,2,
7400329,7400329,2,
7400330,7400330,2,300
7400331,7400331,2,300
7400333,7400333,2,
7400334,7400334,2,
7400335,7400335,2,300
7400336,7400336,2,
7400337,7400337,2,
7400338,7400338,2,300
7400339,7400339,3,
7400340,7400340,2,
7400341,7400341,3,
7400342,7400342,2,600
7400343,7400343,2,
7400344,7400344,2,180
7400345,7400345,2,420
7400346,7400346,3,
7400347,7400347,2,600
7400348,7400348,2,600
7400349,7400349,2,300
7400350,7400350,2,
7400351,7400351,2,120
7400352,7400352,2,
7400353,7400353,2,300
7400354,7400354,3,
7400355,7400355,3,
7400356,7400356,2,300
7400357,7400357,3,
7400358,7400358,3,
7400359,7400359,3,
7400360,7400360,2,600
7400361,7400361,2,5400
7400362,7400362,2,
7400363,7400363,2,600
7400364,7400364,2,
7400365,7400365,2,240
7400366,7400366,2,600
7400367,7400367,2,
7400368,7400368,2,300
7400370,7400370,2,300
7400371,7400371,2,300
7400373,7400373,2,300
7400374,7400374,3,
7400375,7400375,2,
7400376,7400376,2,
7400377,7400377,2,300
7400378,7400378,2,
7400379,7400379,2,240
7400380,7400380,3,
7400381,7400381,2,
7400383,7400383,2,300
7400384,7400384,2,300
7400385,7400385,2,
7400386,7400386,3,
7400387,7400387,2,300
7400388,7400388,2,600
7400389,7400389,2,300
7400390,7400390,2,300
7400391,7400391,2,300
7400392,7400392,2,120
7400394,7400394,2,300
7400395,7400395,2,300
7400396,7400396,3,
7400397,7400397,2,300
7400398,7400398,3,
7400399,7400399,2,
7400400,7400400,2,
7400401,7400401,2,
7400402,7400402,2,420
7400403,7400403,2,
7400404,7400404,2,180
7400405,7400405,2,180
7400406,7400406,2,
7400407,7400407,2,
7400408,7400408,2,1200
7400409,7400409,3,
7400410,7400410,2,300
7400411,7400411,2,
7400413,7400413,3,
7400414,7400414,3,
7400415,7400415,3,
7400416,7400416,2,300
7400417,7400417,2,
7400418,7400418,2,
7400419,7400419,2,600
7400420,7400420,2,120
7400421,7400421,2,
7400422,7400422,2,
7400423,7400423,2,
7400425,7400425,2,
7400426,7400426,3,
7400427,7400427,2,480
7400428,7400428,2,300
7400429,7400429,3,
7400431,7400431,2,
7400432,7400432,2,180
7400433,7400433,2,
7400434,7400434,2,600
7400435,7400435,3,
7400436,7400436,3,
7400438,7400438,2,180
7400439,7400439,3,
7400440,7400440,3,
7400441,7400441,2,
7400442,7400442,3,
7400445,7400445,3,
7400446,7400446,3,
7400447,7400447,2,300
7400448,7400448,3,
7400449,7400449,3,
7400450,7400450,2,
7400451,7400451,2,600
7400452,7400452,3,
7400453,7400453,3,
7400454,7400454,2,
7400455,7400455,3,
7400456,7400456,2,300
7400458,7400458,2,240
7400460,7400460,3,
7400462,7400462,2,600
7400463,7400463,2,
7400464,7400464,2,300
7400465,7400465,2,600
7400466,7400466,2,300
7400467,7400467,2,
7400468,7400468,3,
7400469,7400469,2,
7400470,7400470,2,
7400471,7400471,2,
7400472,7400472,3,
7400473,7400473,3,
7400474,7400474,2,
7400475,7400475,3,
7400476,7400476,2,180
7400477,7400477,2,300
7400478,7400478,2,300
7400479,7400479,2,300
7400480,7400480,2,300
7400481,7400481,3,
